freq,gain,phase
200000.00298023224,25.14109778923213,-66.73440978400907
182402.16374397278,27.357250597141455,-59.335123523385015
166352.7488708496,29.265779390529502,-47.83836497203668
151715.51704406738,30.914221437357284,-39.92031808642637
138366.1925792694,32.96353618455282,-30.397939018843886
126191.46704673767,35.37564729968187,-18.624975434715253
115087.98599243164,37.00277976330446,-15.44544182329533
104961.48467063904,38.98322049132635,-7.147117518481261
95726.01318359375,40.77360247343429,5.381427370538985
87303.16162109375,41.82702052944396,12.522143544958167
79621.43421173096,42.28169103922194,11.439205912866864
72615.6085729599,42.979030246628284,16.60004822868317
66226.22907161713,43.033343575362146,20.426288180596195
60399.04057979584,43.708152557452465,27.82807732813583
55084.57124233246,42.9778102902864,46.159240371368206
50237.73014545441,43.14925067638731,63.15720367352941
45817.360281944275,42.353938838504206,80.33926613220402
41785.92562675476,41.92700750326725,99.06507930860542
38109.21311378479,41.47305714054162,119.18463436956002
34756.019711494446,41.059335611983755,134.47722603201152
31697.869300842285,40.84039650767903,149.3623493010978
28908.78915786743,40.34793852774517,164.70624375664832
26365.13113975525,40.77008849342629,-179.1308071926901
24045.28856277466,40.49136147555132,-169.6327813835343
21929.562091827393,40.09350507819334,-156.31293708859383
19999.995827674866,41.00170256172825,-146.61116326625728
18240.21339416504,40.82354858446634,-133.08907337084136
16635.268926620483,41.24166564397983,-126.48453870846693
15171.557664871216,42.20718501217487,-115.07733018797795
13836.62223815918,41.35037039866846,-104.22894007045487
12619.152665138245,41.29893684863548,-98.99472700996779
11508.792638778687,41.98301057352345,-87.41736729821488
10496.154427528381,41.528767256321046,-74.24598641716
9572.595357894897,38.895668609395884,-67.97591474557036
8730.322122573853,37.062280264447416,-57.97806277034848
7962.137460708618,36.920866291781195,-51.12461758361093
7261.559367179871,34.341446934435936,-47.453648876872876
6622.627377510071,32.0602350987121,-43.96149659947259
6039.902567863464,30.802528360851937,-39.93064482515056
5508.452653884888,29.3925742289482,-35.8569048015714
5023.777484893799,27.682516523921144,-30.239357463506582
4581.734538078308,27.15728895916811,-27.804489983151925
4178.598523139954,24.692398379372356,-26.17612563430277
3810.9272718429565,23.115619851345546,-29.790076439691916
3475.6064414978027,21.76806028169494,-23.921204973214987
3169.7899103164673,20.00402699559369,-21.471887180008274
2890.8848762512207,18.067407318592213,-19.697047697995906
2636.5071535110474,16.823747264995138,-19.0119628686213
2404.525876045227,15.01215909058451,-15.619470717830417
2192.959189414978,13.745572002174525,-14.674719988775182
2000.0040531158447,12.110570927279593,-10.901627089808631
1824.021339416504,10.359778002110971,-12.144949969510165
1663.5209321975708,8.85329966875253,-10.567173489074381
1517.1617269515991,7.305037479236949,-10.238599505898447
1383.662223815918,5.862171778439643,-8.528444193611548
1261.9197368621826,4.068375513553745,-8.767773377074215
1150.8762836456299,2.312683139626665,-7.235606235865151
1049.6079921722412,0.8770317780300363,-6.965987498771221
957.2654962539673,-0.5707427828286464,-5.832093609417446
873.0292320251465,-2.0604601489388936,-7.365966708474486
796.2137460708618,-3.9304809147158517,-4.393069205587139
726.163387298584,-5.857699751625241,-5.816502517141742
662.2672080993652,-6.688635987695485,-4.332563242918332
603.988766670227,-8.891320304656226,-4.515350687877753
550.8512258529663,-10.551256359197046,-6.77033243450266
502.3777484893799,-11.803372330505557,-0.7922073782410444
458.18090438842773,-13.849171306151495,-6.093527037281828
417.858362197876,-14.110165919665034,6.098243360913458
381.0971975326538,-18.641521646418894,-15.429466702624062
347.55468368530273,-21.324603375925015,-14.268257331585096
316.97750091552734,-12.367372914339725,-36.58761083198337
289.08252716064453,-17.434280472697587,-21.031069490272163
263.6462450027466,-23.546553758620586,-43.253196990036336
240.46003818511963,-20.460622988036903,87.76894464572202
219.30038928985596,-17.08850176165624,-22.128900842056236
200.00338554382324,-17.842045234449436,27.48862334791138
182.40511417388916,-9.309051734144406,31.19573825637334
166.35656356811523,-18.421543233882627,-14.1353284468067
151.708722114563,-5.611506484718861,20.891512307626513
138.37218284606934,-8.556311318776528,129.00888441238163
126.1979341506958,-11.311585632890306,38.783669492505815
115.08166790008545,-14.773753514277692,-153.2419598916177
104.96377944946289,-15.134277454652118,146.16217858542183
95.72505950927734,-15.387876544774235,136.75045924073643
87.30590343475342,-19.116201008849146,159.08566032621488
79.61690425872803,-20.498098315001307,54.50635310972974
72.61335849761963,-19.355670735952017,-138.50422033400517
66.22076034545898,-14.430139445712712,-69.69699949391676
60.39440631866455,-10.52677550564615,-115.17901300619356
55.089592933654785,-9.515958551246907,-30.96176540579505
50.23181438446045,-15.401134737824824,-41.12170642382113
45.82107067108154,-15.042965015333127,25.089077771973024
41.78285598754883,-14.061172362900907,120.13148840921305
38.10226917266846,-7.519721026727125,-149.37856450288686
34.749507904052734,-6.76530245099002,65.13170511757517
31.694769859313965,-14.163750985596973,-80.60604842318378
28.908252716064453,-8.973404101764402,86.22557929154058
26.360154151916504,-25.234064814438785,-65.57953884572987
24.050474166870117,-9.481943188208545,-105.32152750953068
21.93450927734375,-19.223743298381425,-42.30185784244868
19.997358322143555,-21.49208516792823,27.477297435249838
